shrink,time_ms
1.05,121.396
1.1,71.653
1.15,79.6519
1.2,61.235
1.25,35.4214
1.3,31.7155
1.35,74.2714
1.4,415.228
1.45,1740.37
1.5,2200.9
1.55,3310.29
1.6,5728.14
1.65,6142.88
1.7,6924.83
1.75,9251.56
